credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;Precio_rec;Diferencia;icvs;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
96449;20131230,0;20170930;20240831;84; 46;19577269,32;19577269,32;999;0,000000000000000000000000;0,000000000000000000000000;4981243,71999999974;0,0000000000000000;0,000000000000000000000000;ICV360;19577269;70;76986487;1,4550181583054631052;13455000,0000;Vehicular;;10417093,76765879057
96675;20140114,0;20170930;20240831;84; 45;38664424,15;38664424,15;999;0,000000000000000000000000;0,000000000000000000000000;6941587,92999999970;0,0000000000000000;0,000000000000000000000000;ICV360;38664424;70;164745507;1,7534886235827660261;22050000,0000;Vehicular;;16070584,52864083089
97019;20140125,0;20170930;20240831;84; 45;23634564,81;23634564,81;999;0,000000000000000000000000;0,000000000000000000000000;3081040,81999999983;0,0000000000000000;0,000000000000000000000000;ICV360;23634564;70;111698147;1,0513596445729540552;22480000,0000;Vehicular;Refinanciacion;5510502,30607247166
97133;20140130,0;20170930;20240831;84; 44;20422248,47;20422248,47;999;0,000000000000000000000000;0,000000000000000000000000;3666492,81999999983;0,0000000000000000;0,000000000000000000000000;ICV360;20422248;70;87232206;1,0236716025062659874;19950000,0000;Vehicular;;6481456,25547033921
97198;20140206,0;20180731;20240831;74; 54;30614176,15;0,00;0;1,000000000000000000000000;0,160000000000000003330669;1264365,46999999997;15409820,2097315415740013;12,187789508148732409154036;ICV0;NA;NA;NA;NA;61650000,0000;Vehicular;;1466663,94519999996
97211;20140206,0;20171231;20240831;81; 47;15858730,46;15858730,46;999;0,000000000000000000000000;0,000000000000000000000000;1529252,07000000007;0,0000000000000000;0,000000000000000000000000;ICV360;15858730;70;77067425;1,1409158604316549379;13900000,0000;Vehicular;;2837813,02594570490
97223;20140206,0;20170930;20240831;84; 44;12064891,20;12064891,20;999;0,000000000000000000000000;0,000000000000000000000000;2261407,29999999981;0,0000000000000000;0,000000000000000000000000;ICV360;12064891;70;58337561;1,8363609132420088965;6570000,0000;Vehicular;;5375977,28098010831
97263;20140210,0;20180731;20240831;74; 54;6432364,64;6432364,64;999;0,000000000000000000000000;0,000000000000000000000000;1194490,11000000010;0,0000000000000000;0,000000000000000000000000;ICV360;6432364;70;20490754;0,5649859148001756814;11385000,0000;Vehicular;;1194490,11000000010
97385;20140214,0;20170930;20240831;84; 44;18813978,76;18813978,76;999;0,000000000000000000000000;0,000000000000000000000000;3826488,27999999980;0,0000000000000000;0,000000000000000000000000;ICV360;18813978;70;77446415;0,8980419455847256094;20950000,0000;Vehicular;;3826488,27999999980
97420;20140218,0;20171231;20240831;81; 47;27265295,65;27265295,65;999;0,000000000000000000000000;0,000000000000000000000000;7921283,50999999978;0,0000000000000000;0,000000000000000000000000;ICV360;27265295;70;100207891;1,2652109350348030858;21550000,0000;Vehicular;;15437854,39727214910
97430;20140218,0;20170930;20240831;84; 44;43193190,44;43193190,44;999;0,000000000000000000000000;0,000000000000000000000000;7002635,67999999970;0,0000000000000000;0,000000000000000000000000;ICV360;43193190;70;171314110;1,2836014989598809599;33650000,0000;Vehicular;;13744080,92163845897
97441;20140218,0;20171231;20240831;81; 47;9652245,51;9652245,51;999;0,000000000000000000000000;0,000000000000000000000000;3370443,35000000009;0,0000000000000000;0,000000000000000000000000;ICV360;9652245;70;32073611;1,1559575461077840064;8350000,0000;Vehicular;;6292510,41812097467
97466;20140220,0;20171231;20240831;81; 47;20245085,74;20245085,74;999;0,000000000000000000000000;0,000000000000000000000000;5660312,92999999970;0,0000000000000000;0,000000000000000000000000;ICV360;20245085;70;71946053;1,1123673483516480776;18200000,0000;Vehicular;;10382573,39358848520
97516;20140221,0;20170930;20240831;83; 44;43388054,02;43388054,02;999;0,000000000000000000000000;0,000000000000000000000000;5656138,21999999974;0,0000000000000000;0,000000000000000000000000;ICV360;43388054;70;211470383;2,8544772381578948917;15200000,0000;Vehicular;;17765126,57364868373
97522;20140221,0;20180731;20240831;74; 54;28039301,94;28039301,94;999;0,000000000000000000000000;0,000000000000000000000000;5206898,37000000011;0,0000000000000000;0,000000000000000000000000;ICV360;28039301;70;101687291;1,0899631463556849198;25725000,0000;Vehicular;;9463393,86758961529
97533;20140224,0;20171231;20240831;80; 47;47500000,00;21917934,37;999;0,538569802736842073720425;0,079788118923976608654058;3703195,04000000004;16699339,6458828262984753;4,509441027411514646416890;ICV360;21917934;70;30685000;0,6672126140030442132;32850000,0000;Vehicular;;3998666,00625020033
97560;20140224,0;20170930;20240831;84; 44;43500726,59;43500726,59;999;0,000000000000000000000000;0,000000000000000000000000;5268787,29999999981;0,0000000000000000;0,000000000000000000000000;ICV360;43500726;70;203972110;1,3596101450226600882;31995000,0000;Vehicular;;10641409,79878491163
97612;20140226,0;20170930;20240831;84; 44;17960886,29;17960886,29;999;0,000000000000000000000000;0,000000000000000000000000;3652981,74000000022;0,0000000000000000;0,000000000000000000000000;ICV360;17960886;70;74543062;1,7437753679611649460;10300000,0000;Vehicular;;8430466,42336793803
97650;20140227,0;20170930;20240831;84; 44;29048834,52;14989668,43;999;0,483983826625482116412513;0,068327128464773942417843;4429809,25999999978;9510425,5918276347219944;2,146915371211183032329473;ICV360;14989668;70;40380835;0,6988190410256409635;21450000,0000;Vehicular;;4732485,40638246480
97668;20140227,0;20170930;20240831;84; 44;1500038,18;1500038,18;999;0,000000000000000000000000;0,000000000000000000000000;317771,62000000000;0,0000000000000000;0,000000000000000000000000;ICV360;1500038;70;7057250;0,0683388692482915644;21950000,0000;Vehicular;;317771,62000000000
97800;20140228,0;20170930;20240831;84; 44;11875368,85;11875368,85;999;0,000000000000000000000000;0,000000000000000000000000;2225883,79000000004;0,0000000000000000;0,000000000000000000000000;ICV360;11875368;70;50584982;0,6671555533707864694;17800000,0000;Vehicular;;2225883,79000000004
98050;20140312,0;20170930;20240831;84; 43;24695926,96;24695926,96;999;0,000000000000000000000000;0,000000000000000000000000;2991158,91999999993;0,0000000000000000;0,000000000000000000000000;ICV360;24695926;70;106490135;2,1189126520806520482;11655000,0000;Vehicular;;7744662,27997892350
98212;20140318,0;20191130;20240831;58; 69;224912,91;224912,91;999;0,000000000000000000000000;0,000000000000000000000000;98070,19000000000;0,0000000000000000;0,000000000000000000000000;ICV360;224912;70;2085077;0,0153734046479835993;14630000,0000;Vehicular;;98070,19000000000
98312;20140321,0;20171231;20240831;81; 46;8878070,74;8878070,74;999;0,000000000000000000000000;0,000000000000000000000000;2342286,75999999978;0,0000000000000000;0,000000000000000000000000;ICV360;8878070;70;33101292;0,9059255857142857193;9800000,0000;Vehicular;;2342286,75999999978
98424;20140327,0;20170930;20240831;84; 43;29249847,42;29249847,42;999;0,000000000000000000000000;0,000000000000000000000000;7442336,12999999989;0,0000000000000000;0,000000000000000000000000;ICV360;29249847;70;119198675;1,7567475927927929114;16650000,0000;Vehicular;;17248065,69084924832
98577;20140330,0;20171231;20240831;81; 46;16538891,19;16538891,19;999;0,000000000000000000000000;0,000000000000000000000000;4363428,38999999966;0,0000000000000000;0,000000000000000000000000;ICV360;16538891;70;68518570;0,9013019722070844120;18350000,0000;Vehicular;;4363428,38999999966
98606;20140401,0;20170930;20240831;84; 42;23685286,87;23685286,87;999;0,000000000000000000000000;0,000000000000000000000000;4252319,92999999970;0,0000000000000000;0,000000000000000000000000;ICV360;23685286;70;102478137;1,2837553859078589813;18450000,0000;Vehicular;;8346523,88955562189
98659;20140404,0;20180731;20240831;74; 52;8358525,11;8358525,11;999;0,000000000000000000000000;0,000000000000000000000000;3601030,87000000011;0,0000000000000000;0,000000000000000000000000;ICV360;8358525;70;26811943;0,2544452088280060864;32850000,0000;Vehicular;;3601030,87000000011
98757;20140409,0;20170930;20240831;84; 42;21265951,97;20712861,97;999;0,026008240815188862771201;0,003671751644497250714749;2425918,41999999993;539230,5552538837073371;0,222278931891651876373572;ICV360;20712861;70;54454408;0,9656345906759906672;21450000,0000;Vehicular;;2434825,78994805133
98938;20140414,0;20171231;20240831;81; 45;1166951,00;1166951,00;999;0,000000000000000000000000;0,000000000000000000000000;84516,94000000000;0,0000000000000000;0,000000000000000000000000;ICV360;1166951;70;5216723;0,0777967333333333400;15000000,0000;Vehicular;;84516,94000000000
98939;20140414,0;20171231;20240831;81; 45;19790000,00;19790000,00;999;0,000000000000000000000000;0,000000000000000000000000;1433299,53000000003;0,0000000000000000;0,000000000000000000000000;ICV360;19790000;70;107263351;1,4237410071942449008;13900000,0000;Vehicular;;2963785,01733992854
98970;20140414,0;20170930;20240831;84; 42;12792501,26;12792501,26;999;0,000000000000000000000000;0,000000000000000000000000;2397788,35999999987;0,0000000000000000;0,000000000000000000000000;ICV360;12792501;70;56370690;0,7200957647058823241;17765000,0000;Vehicular;;2397788,35999999987
99004;20140416,0;20170930;20240831;84; 42;15579662,34;1420370,30;999;0,908831766119008177540195;0,128305661099154089122010;4110356,62999999989;7459562,9496451560407877;1,814821345476574032673511;ICV360;1420370;70;1948406;0,0879486253869969092;16150000,0000;Vehicular;;4637738,65476544108
99108;20140423,0;20180731;20240831;74; 52;27826899,45;27826899,45;999;0,000000000000000000000000;0,000000000000000000000000;1149250,94999999995;0,0000000000000000;0,000000000000000000000000;ICV360;27826899;70;100302835;1,2882823819444439994;21600000,0000;Vehicular;;2259670,76348843612
