credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
214694;20220926,0000000;20240531;20240930;5; 21;15600835,86;15600835,86;279;0,000000000000000000000000;0,000000000000000000000000;6948398,95376794972;15600835;70;23879726;0,62653959277108428605;24900000,0000;Vehicular;;1,00000000000000
214705;20220926,0000000;20230930;20240930;13; 13;36213158,86;36213158,86;493;0,000000000000000000000000;0,000000000000000000000000;19061471,30265989900;36213158;70;53916783;0,90082484726368161621;40200000,0000;Vehicular;;1,00000000000000
214720;20220926,0000000;20230930;20240930;13; 13;48140600,43;48140600,43;523;0,000000000000000000000000;0,000000000000000000000000;21441166,10897820070;48140600;70;74910215;0,68796856634512326689;69975000,0000;Vehicular;;1,00000000000000
214724;20220926,0000000;20240430;20240930;6; 20;12463835,00;12463835,00;364;0,000000000000000000000000;0,000000000000000000000000;5434684,45920057967;12463835;70;17781308;0,31958551282051278486;39000000,0000;Vehicular;;1,00000000000000
214780;20220928,0000000;20230930;20240930;13; 13;63289252,78;56125038,26;121;0,113197963403100287926861;0,097026825774085945219838;55157031,88563620299;56125038;70;58416527;0,45189241755233489073;124200000,0000;Vehicular;;1,09702682577409
214792;20220928,0000000;20230531;20240930;17;  9;97899474,04;97899474,04;634;0,000000000000000000000000;0,000000000000000000000000;51531213,31974569708;97899474;70;147642815;0,68665004885131042389;142575500,0000;Vehicular;;1,00000000000000
214826;20220921,0000000;20230531;20240930;17;  9;26074169,36;10267592,68;361;0,606215924341146461529206;0,404143949560764326189855;13724624,96452330053;10267592;70;13703084;0,20135495768985631204;50992500,0000;Vehicular;Reestructuracion;1,40414394956076
214834;20220929,0000000;20230731;20240930;15; 11;36984752,76;36984752,76;575;0,000000000000000000000000;0,000000000000000000000000;19467613,73702469841;36984752;70;60537923;1,26443599179487198292;29250000,0000;Vehicular;;1,94832699384615
214835;20221001,0000000;20240731;20240930;3; 23;9415276,00;9415276,00;91;0,000000000000000000000000;0,000000000000000000000000;4955906,05543276016;9415276;70;10293543;0,30618783739837401869;30750000,0000;Vehicular;;1,00000000000000
214850;20220930,0000000;20240831;20240930;2; 24;29110400,45;23630152,81;0;0,188257377270122733259328;0,753029509080491044059613;15322801,75706689991;23630152;70;23669733;0,50981990960086298603;46350000,0000;Vehicular;;1,75302950908049
214855;20220930,0000000;20240331;20240930;7; 19;13546542,10;12353927,90;0;0,088038275096048265733195;0,132057412644072391660899;24918384,00000000000;12353927;70;12355092;0,29840405555555549189;41400000,0000;Vehicular;;1,13205741264407
214886;20220728,0000000;20230831;20240930;14; 12;130314518,38;54266959,46;330;0,583569351023833227110060;0,466855480819066581688048;69203103,16192840040;54266959;70;77584488;0,54567078391151335737;99450000,0000;Vehicular;Reestructuracion;1,46685548081907
214897;20220930,0000000;20230731;20240930;15; 11;44062159,64;28287568,00;29;0,358007682076474820220824;0,268505761557356115165618;19624684,15930030122;28287568;70;29392724;1,11985621536025292677;25260000,0000;Vehicular;;1,36320869897738
214922;20220930,0000000;20240930;20240930;1; 25;64832050,81;0,00;0;1,000000000000000000000000;6,000000000000000000000000;34125558,20786549896;NA;NA;NA;NA;138587500,0000;Vehicular;;7,00000000000000
214926;20220930,0000000;20230531;20240930;17;  9;29940039,33;29940039,33;699;0,000000000000000000000000;0,000000000000000000000000;13054943,73610999994;29940039;70;52220812;1,08773984850136207214;27525000,0000;Vehicular;;1,81580488637602
214928;20220930,0000000;20221231;20240930;22;  4;86800000,00;75864670,61;60;0,125983057488479266439185;0,065730290863554391433965;84154043,98478069901;75864670;70;79836617;0,63533461137770186333;119409000,0000;Vehicular;;1,06573029086355
214946;20220822,0000000;20230430;20240930;18;  8;30445276,87;30445276,87;709;0,000000000000000000000000;0,000000000000000000000000;13275245,40667239949;30445276;70;58636536;0,99251106340668304728;30675000,0000;Vehicular;Refinanciacion;1,00000000000000
214951;20220717,0000000;20230831;20240930;14; 12;44473066,04;40617823,96;349;0,086687121516032056289802;0,069349697212825647807399;36348470,74680659920;40617823;70;54436907;0,61752678008361838735;65775000,0000;Vehicular;Reestructuracion;1,06934969721283
