credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
71481;20110412,00;20111130;20140430;30;  8;37086114,09;13712647,57;0;0,630248466131491658082098;0,2439671481799322583228218;NA;NA;NA;NA;NA;NA;NA;1,24396714817993
71501;20110413,00;20111130;20140430;30;  8;42370878,70;15580769,96;0;0,632276449343496915744822;0,2447521739394181716775734;NA;NA;NA;NA;NA;NA;NA;1,24475217393942
71536;20110414,00;20111130;20140430;30;  8;35075423,60;13916231,09;16;0,603248381296812019591869;0,2335155024374755972083051;NA;NA;NA;NA;NA;NA;NA;1,23351550243748
71562;20110415,00;20111130;20140430;30;  8;35980124,84;14191113,91;15;0,605584639488983000887856;0,2344198604473482772103665;NA;NA;NA;NA;NA;NA;NA;1,23441986044735
71814;20110428,00;20111130;20140430;30;  8;41977484,04;15818024,80;0;0,623178349971448164446031;0,2412303290212057249597422;NA;NA;NA;NA;NA;NA;NA;1,24123032902121
71835;20110428,00;20111130;20140430;30;  8;47131937,85;18261424,42;2;0,612546709237417830173911;0,2371148551886778643726927;NA;NA;NA;NA;NA;NA;NA;1,23711485518868
71873;20110429,00;20111130;20140430;30;  8;37084825,08;14708318,12;1;0,603387151260091680882169;0,2335692198426161381163979;NA;NA;NA;NA;NA;NA;NA;1,23356921984262
72087;20110511,00;20111130;20140430;30;  7;38412230,02;15073951,45;0;0,607574164734734689652385;0,2351899992521553350854902;NA;NA;NA;NA;NA;NA;NA;1,23518999925216
72115;20110512,00;20111130;20140430;30;  7;45246840,85;17537053,40;0;0,612413749323672429447640;0,2370633868349699691080446;NA;NA;NA;NA;NA;NA;NA;1,23706338683497
72166;20110516,00;20111130;20140430;30;  7;45728845,27;17736483,16;0;0,612137961164834876193197;0,2369566301283231590790734;NA;NA;NA;NA;NA;NA;NA;1,23695663012832
72181;20110516,00;20111130;20140430;30;  7;50420406,05;20080956,33;0;0,601729579288066807052360;0,2329275790792516565019810;NA;NA;NA;NA;NA;NA;NA;1,23292757907925
72310;20110523,00;20111130;20140430;30;  7;45728845,69;20232496,24;38;0,557555063227313185691969;0,2158277664105728299581699;NA;NA;NA;NA;NA;NA;NA;1,21582776641057
72320;20110524,00;20111130;20140430;30;  7;51126153,57;19892645,24;0;0,610910583899808901087169;0,2364815163483131310595553;NA;NA;NA;NA;NA;NA;NA;1,23648151634831
72467;20110530,00;20111130;20140430;30;  7;35815881,28;14995386,01;0;0,581320200031666067808089;0,2250271742058062018898568;NA;NA;NA;NA;NA;NA;NA;1,22502717420581
72516;20110530,00;20111130;20140430;30;  7;42623711,44;18109314,55;0;0,575135202022660774190399;0,2226329814281267638342854;NA;NA;NA;NA;NA;NA;NA;1,22263298142813
72575;20110530,00;20111130;20140430;30;  7;37885209,92;14984958,06;0;0,604464167107880090412664;0,2339861292030503414629550;NA;NA;NA;NA;NA;NA;NA;1,23398612920305
72601;20110601,00;20111130;20140430;30;  6;36016418,26;14282542,77;0;0,603443555466972703094086;0,2335910537291507049761918;NA;NA;NA;NA;NA;NA;NA;1,23359105372915
72639;20110602,00;20111130;20140430;30;  6;46591997,39;18966104,80;0;0,592932137224263300367966;0,2295221176351986969166319;NA;NA;NA;NA;NA;NA;NA;1,22952211763520
72666;20110608,00;20111130;20140430;30;  6;45023633,19;1306156,97;204;0,970989525334661318645146;0,3758669130327720875328623;NA;NA;NA;NA;NA;NA;NA;1,37586691303277
72697;20110609,00;20111130;20140430;30;  6;46471037,63;20222879,57;21;0,564828318854992628139655;0,2186432202019326642705721;NA;NA;NA;NA;NA;NA;NA;1,21864322020193
