credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;garantia_anterior;LTV_ant;Valoracion_pd
72097;20110512,00;20111130;20121231;14;  7;37705548,22;0,00;0;1,000000000000000000000000;0,8000000000000000444089210;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,80000000000000
73342;20110706,00;20111130;20121231;14;  5;49955059,45;0,00;0;1,000000000000000000000000;0,8000000000000000444089210;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,80000000000000
72245;20110519,00;20111130;20130228;16;  7;39590826,14;0,00;0;1,000000000000000000000000;0,7058823529411764052809986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,70588235294118
73428;20110711,00;20111130;20130630;20;  5;43789180,41;0,00;0;1,000000000000000000000000;0,5714285714285713968507707;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,57142857142857
73892;20110728,00;20111130;20130630;20;  5;34932521,81;0,00;0;1,000000000000000000000000;0,5714285714285713968507707;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,57142857142857
71887;20110429,00;20111130;20130731;21;  8;47132438,02;0,00;0;1,000000000000000000000000;0,5454545454545454141737082;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,54545454545455
72083;20110509,00;20111130;20130831;22;  7;36363574,25;0,00;0;1,000000000000000000000000;0,5217391304347825942144823;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,52173913043478
71297;20110404,00;20111130;20131130;25;  8;35229507,96;0,00;0;1,000000000000000000000000;0,4615384615384615640820698;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,46153846153846
73978;20110729,00;20111130;20131130;25;  5;36550142,22;0,00;0;1,000000000000000000000000;0,4615384615384615640820698;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,46153846153846
72552;20110530,00;20111130;20140228;28;  7;52201950,28;0,00;0;1,000000000000000000000000;0,4137931034482758563264326;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,41379310344828
72630;20110603,00;20111130;20140228;28;  6;38501540,14;0,00;0;1,000000000000000000000000;0,4137931034482758563264326;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,41379310344828
74017;20110729,00;20111130;20140228;28;  5;34686707,99;0,00;0;1,000000000000000000000000;0,4137931034482758563264326;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,41379310344828
72600;20110602,00;20111130;20140331;29;  6;44085908,49;0,00;0;1,000000000000000000000000;0,4000000000000000222044605;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,40000000000000
73652;20110719,00;20111130;20140331;29;  5;36038939,31;0,00;0;1,000000000000000000000000;0,4000000000000000222044605;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,40000000000000
73811;20110725,00;20111130;20140331;29;  5;45731216,52;0,00;0;1,000000000000000000000000;0,4000000000000000222044605;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,40000000000000
71293;20110404,00;20111130;20140430;30;  8;46353378,79;18260541,33;26;0,606058030575768569292450;0,2346031086099749640716539;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23460310860997
71383;20110407,00;20111130;20140430;30;  8;43657705,52;16026456,75;0;0,632906572640238085369901;0,2449960926349308842908670;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,24499609263493
71481;20110412,00;20111130;20140430;30;  8;37086114,09;13712647,57;0;0,630248466131491658082098;0,2439671481799322583228218;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,24396714817993
71501;20110413,00;20111130;20140430;30;  8;42370878,70;15580769,96;0;0,632276449343496915744822;0,2447521739394181716775734;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,24475217393942
71536;20110414,00;20111130;20140430;30;  8;35075423,60;13916231,09;16;0,603248381296812019591869;0,2335155024374755972083051;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23351550243748
71562;20110415,00;20111130;20140430;30;  8;35980124,84;14191113,91;15;0,605584639488983000887856;0,2344198604473482772103665;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23441986044735
71814;20110428,00;20111130;20140430;30;  8;41977484,04;15818024,80;0;0,623178349971448164446031;0,2412303290212057249597422;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,24123032902121
71835;20110428,00;20111130;20140430;30;  8;47131937,85;18261424,42;2;0,612546709237417830173911;0,2371148551886778643726927;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23711485518868
71873;20110429,00;20111130;20140430;30;  8;37084825,08;14708318,12;1;0,603387151260091680882169;0,2335692198426161381163979;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23356921984262
72087;20110511,00;20111130;20140430;30;  7;38412230,02;15073951,45;0;0,607574164734734689652385;0,2351899992521553350854902;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23518999925216
